step,volume_phi,phi_min,phi_max,max_u,com_x,com_y,com_z,radius_eff,rho_inside_avg,rho_outside_avg,rho_ratio_recovered,rho_ratio_expected,mu_inside_avg,mu_outside_avg,mu_ratio_recovered,mu_ratio_expected,p_inside_avg,p_outside_avg,delta_p,expected_delta_p_r0,expected_delta_p_reff,sigma_recovered_r0,sigma_recovered_reff,sigma_recovery_ratio_r0,sigma_recovery_ratio_reff,volume_phi_rel_drift,radius_eff_rel_drift,com_dx,com_dy,com_dz,com_drift,delta_p_error_percent_r0,delta_p_error_percent_reff,sigma_recovery_percent_error_r0,sigma_recovery_percent_error_reff,rho_ratio_error_percent,mu_ratio_error_percent
0,60138.28674,0.0,0.9999997616,0.0,63.5,63.5,63.5,24.30454419,0.9804998645,0.0008269745938,1185.646901,100000.0025,0.009804998476,8.269746336e-06,1185.646824,99999.9966,0.002451249209,2.042456946e-06,0.002449206752,0.002499999944,0.002468674096,0.02939048102,0.02976342687,0.9796827225,0.992114251,0.0,0.0,0.0,0.0,0.0,0.0,-2.0317277255107022,-0.7885748885016197,-2.031727750000001,-0.7885749000000053,-98.81435312864117,-98.81435313568801
200,60138.37893,2.883254347e-21,1.000111461,0.2157440005,63.50000003,63.5000001,63.49999993,24.30455661,0.9807268818,0.0008095627542,1211.427869,100000.0025,0.009807268612,8.095627875e-06,1211.427793,99999.9966,0.002421745725,3.242040308e-07,0.002421421521,0.002499999944,0.002468672834,0.02905705825,0.02942578821,0.9685686299,0.9808596291,1.5329668501253543e-06,5.110155492016426e-07,3.000000248221113e-08,1.0000000116860974e-07,-6.999999868639861e-08,1.2569805169035212e-07,-3.14313699040626,-1.9140370627175596,-3.1431370099999967,-1.914037089999998,-98.78857216128569,-98.78857216581146
400,60138.46998,1.669996077e-15,1.000165582,0.1710905465,63.50000005,63.50000015,63.49999996,24.30456888,0.9808138885,0.0008090878279,1212.246501,100000.0025,0.009808138675,8.090878606e-06,1212.246426,99999.9966,0.002439953542,2.048493917e-07,0.002439748693,0.002499999944,0.002468671588,0.02927698432,0.02964852008,0.975899499,0.9882840247,3.0469773904715874e-06,1.015859413245363e-06,4.999999703159119e-08,1.4999999820020093e-07,-4.000000330961484e-08,1.6309506254938745e-07,-2.410050093985112,-1.1715975158701304,-2.410050100000005,-1.1715975300000014,-98.78775352930616,-98.78775353278361
600,60138.5603,1.519966065e-13,1.00007236,0.1446414398,63.50000003,63.50000016,63.49999998,24.30458104,0.9808423377,0.0008084824896,1213.18934,100000.0025,0.00980842317,8.084825218e-06,1213.189266,99999.9966,0.00244430636,2.136234573e-07,0.002444092736,0.002499999944,0.002468670353,0.02932911283,0.02970132499,0.9776371163,0.9900441886,4.5488492410313866e-06,1.5161773744501407e-06,3.000000248221113e-08,1.5999999902760464e-07,-2.000000165480742e-08,1.6401219437577946e-07,-2.2362883700928613,-0.9955811625530611,-2.2362883699999947,-0.9955811400000014,-98.78681069032974,-98.78681069275156
800,60138.6503,1.529277464e-12,1.000024438,0.07679248271,63.49999998,63.50000012,63.49999994,24.30459317,0.9808216981,0.0008090861743,1212.258631,100000.0025,0.009808216773,8.090862068e-06,1212.258557,99999.9966,0.002430987765,1.149816898e-07,0.002430872784,0.002499999944,0.002468669121,0.02917047341,0.02954068703,0.9723491353,0.9846895896,6.045400022281386e-06,2.015260998769509e-06,-2.000000165480742e-08,1.2000000282341716e-07,-5.99999978589949e-08,1.356466014572124e-07,-2.7650864619379285,-1.5310410244322106,-2.76508647,-1.531041040000003,-98.78774139930646,-98.78774140178321
1000,60138.73734,5.707711647e-12,1.00009954,0.06035032393,63.50000001,63.50000006,63.49999999,24.30460489,0.9808723328,0.0008089221439,1212.567044,100000.0025,0.009808723114,8.089221764e-06,1212.566969,99999.9966,0.002453036842,1.570387813e-07,0.002452879803,0.002499999944,0.00246866793,0.02943455764,0.02980813723,0.9811519432,0.9936045967,7.492730911084885e-06,2.49747534964174e-06,1.000000082740371e-08,5.99999978589949e-08,-1.000000082740371e-08,6.164413821423365e-08,-1.884805682219638,-0.6395403289416901,-1.8848056800000013,-0.6395403299999991,-98.78743298631419,-98.78743298977271
1200,60138.82716,1.43528453e-11,0.9999371767,0.07041094278,63.5,63.5,63.49999999,24.30461699,0.980809908,0.0008088144094,1212.651378,100000.0025,0.009808098879,8.088144418e-06,1212.651304,99999.9966,0.002428089923,1.762927211e-07,0.00242791363,0.002499999944,0.002468666701,0.02913496356,0.02950475544,0.9711654738,0.98349187,8.986288590727135e-06,2.995324636783349e-06,0.0,0.0,-1.000000082740371e-08,1.000000082740371e-08,-2.883452624589335,-1.6508130070167728,-2.8834526200000044,-1.6508129999999954,-98.78734865231628,-98.78734865476986
1400,60138.91637,2.589814994e-11,1.000011444,0.03699607407,63.5000001,63.5,63.49999998,24.30462901,0.9808711728,0.0008088584481,1212.661097,100000.0025,0.009808711524,8.088584802e-06,1212.661023,99999.9966,0.002447231039,1.50942264e-07,0.002447080097,0.002499999944,0.00246866548,0.02936496116,0.02973768696,0.9788320605,0.991256254,1.0469702981695112e-05,3.4898823584099495e-06,1.0000000116860974e-07,0.0,-2.000000165480742e-08,1.0198039174230628e-07,-2.1167939274161793,-0.8743745628913623,-2.1167939499999955,-0.8743746000000052,-98.78733893331653,-98.78733893576953
1600,60139.00699,4.238353765e-11,0.9999656081,0.03151757866,63.50000007,63.49999998,63.49999997,24.30464122,0.9808450987,0.0008089855833,1212.438292,100000.0025,0.009808450772,8.089856154e-06,1212.438217,99999.9966,0.002440669586,1.310672348e-07,0.002440538519,0.002499999944,0.002468664241,0.02928646222,0.02965820654,0.9762154293,0.9886069067,1.1976563334974822e-05,3.992257548244326e-06,6.999999868639861e-08,-2.000000165480742e-08,-3.000000248221113e-08,7.874007893837026e-08,-2.3784570532774314,-1.1393093290243064,-2.378457069999995,-1.1393093300000046,-98.78756173831094,-98.7875617417771
1800,60139.09423,6.278677578e-11,0.9999739528,0.02206966115,63.50000007,63.50000006,63.49999992,24.30465297,0.9808353065,0.0008088997968,1212.554769,100000.0025,0.009808352857,8.088998291e-06,1212.554695,99999.9966,0.002434813345,1.479723987e-07,0.002434665373,0.002499999944,0.002468663047,0.02921598448,0.0295868485,0.9738661709,0.9862283053,1.3427219892217933e-05,4.475706236148142e-06,6.999999868639861e-08,5.99999978589949e-08,-7.999999951380232e-08,1.2206555403300136e-07,-2.6133828985397645,-1.3771694780830868,-2.613382909999995,-1.3771694699999948,-98.78744526131388,-98.78744526377315
